category,name,address_line_1,address_line_2,address_line_3,address_line_4,address_line_5,hod_designation,hod_name,hod_contact,cp_designation,cp_name,cp_contact,gi_telephone,gi_fax,gi_email,gi_website,misc_info,services - services
Departments,Department of Excise,Excise Department of Sri Lanka No. 353, Kotte Road, Rajagiriya,Sri Lanka.,,Excise Commissioner General,Mrs. K.H.A. Meegasmulla,"+ 94-11-2300166 + 94-11-2326606
Fax �+94 11-2877890", Officer In Charge (IT Division) ,Mr.L.A.D.Liyanaarachchi , +94(0)112 045020, +94-11-2300904 , +94-11-2877890, excisen@slt.lk,http://www.excise.gov.lk,,"Obtaining a transport license for liqueur : FL 04 Licenses (Super markets which exceeded annual turnover tax  Rs 72 million) : Transfer : GUIDELINES AND CONDITIONS APPLICABLE FOR THE ISSUE OF EXCISE LICENSES : Procedure in applying for FL 04 License : ර.බි. 04 බලපත‍්‍ර (වාර්ෂික පිරිවැටුම රුපියල් දශලක්ෂ 72 ඉක්මවන සුපිරි වෙළඳසැල්) ලබාගැනීම : ර.බි. 04 බලපත‍්‍ර ලබාගැනීම : Procedure in applying for FL 07 & 08 License : Procedure in applying for FL 11 License : Procedure in applying for FL 22  License : අමතර ර.බි. 22 ඒ - බියර්,ස්ටවුට් සහ වයින් සිල්ලරට විකිණිම සඳහා බලපත‍්‍ර ඉල්ලුම් කිරීම  : අමතර ර.බි. 22 ඒ - බියර්,ස්ටවුට් සහ වයින් සිල්ලරට විකිණිම සඳහා බලපත‍්‍ර ඉල්ලුම්  : FL 22 B license – In addition to above, for consumption   of Beer, Stout and Wine in the premises : Procedure in applying for FL 13 and 13 A License : කිතුල් ගස් මැද පැසුනු රා නිෂ්පාදනය කර විකිණිම සඳහා ලබා දෙන බලපත‍්‍රය ඉල්ලුම් කිරීම. : වයින් නිෂ්පාදනය කිරිම සඳහා සුරාබදු බලපත‍්‍රයක් ඉල්ලුම් කිරීම : නව ස්කාගාර/ගුදම්  බලපත‍්‍රයක් ඉල්ලුම් කිරීම : Requirements to obtain occasional license (FL 14) : Requirements for shifting a  license from the present premises  to another premises. : Requirements to be fulfilled when transferring a license to another person"
Departments,"Department of Examinations, Sri Lanka",P.O. Box 1503, Colombo.,,,,Commissioner General of Examinations,,011-2786200, Commissioner General of Examinations ,Mr. B.Sanath poojitha , +94-11-2786200, Hot line - 1911: +94-11-2786200:  +94-11-2784201:  +94-11-2785202: +94-11-2784203: +94-11-2784204: +94-11-2786205: +94-11-2786206: +94-11-2787207, +94-11-2785220, exams@doenets.lk,http://www.doenets.lk,Location Map,e -Service for View Results : Official Website - DOE : Monthly Examinations Calendar : Tell Exams
Departments,Department of Divinaguma Development ,4th Floor, Sethsiripaya,Battaramulla.,,,Director Genaral,Mr. R.P.Bandula Thilakasiri,+94-11-2871672, System Analyst -SASL ,Mr.M.A.Hiran Prasanna , +94-11-2861213, +94-11-2872202, +94-11-2889002, samurdhidg@gmail.com,http://-,,Samurdhi Lottery Draw : Social Development Programme : Rural Development Programme : Agricultural Development Programme
Departments,Department of Educational Publications,Isurupaya,Battaramulla,,,,Commissioner General,Mr. Tissa Hewavithana,011-2784815, Assistant Commissioner ,W.D.Pathmasiri , +94 0113 084638, +94-112-784815: +94-112-787509: +94-112-785477, +94-112-784815, commissioner_epd@yahoo.com,http://www.edupub.gov.lk,Location Map,Services of Development Unit of Education Publications Department : Services of Distribution Unit of the Education Publications Department : Services of Production Unit of Education Publications Department : Services of Publishing Unit of Education Publications Department : Services of Planning Unit of Education Publications Department : Services of Information Technology Unit of Education Publications Department : Services of Investigation Unit of Education Publications Department : Services of Research Unit of Education Publications Department : Services of Establishment Unit of Education Publications Department : Services of Financial Unit of Education Publications Department : Warehouses of Education Publications Department : Sales Outlets of Books
Departments,Department of Customs,No 40,Main Street, Colombo 11.,,,Director General,Mrs.P.S.M. Charles,+94 11 2 347881,  , , , +94-11-2470945 to  +94-11-2470948, +94-11-2446364, dgc@customs.gov.lk,http://www.customs.gov.lk,Location Map,Foreign Currency Declaration Limits : Exchange Rates For Customs Declarations : Concessions for Incoming Passengers : Facilities given to Passengers Going Abroad : Clearance of Un-accompanied Baggage(UPB) : Sending a Gift to a Friend or a Relative in Sri Lanka : Gifts received from a Foreign Country (Sea/air/EMS) : Sending Gift Parcels to a Foreign Country Through Mail : Bringing in or Taking Out Local Currencies : importation of cats and Dogs : Temporary Import and Export under ATA Carnet : Importing  Motor Vehicles : Exporting Gemstones : Importing Gemstones : Registration of Importers/Exporters(TIN/VAT) : Facilitation for Investors - TIEP 1 : Facilitation for Investors - TIEP 4 : Facilitation for Investors - Entrepot Trade : Issuance of Customs House Agent (CHA) Pass
Departments,Department of Cultural Affairs,8th Floor,Sethsiripaya,Bataramulla.,,,Director of Cultural Affairs,Mr. W.M. Vijith Kanugala,+94-112-872035, Cultural Development Assistant ,Mr. S.P. Wickramanayaka , +94-112-872034	 , +94-112-872031 / +94-112-866731, +94-112-866732, dcanews@sltnet.lk,http://www.cultural.gov.lk,,Reservation  John de Silva Memorial Theatre Hall  : Reservation National Art Gallery : Saraswathie Pension Scheme : Monthly Assistance to Artiste : Registration for Kalayatana (Art Schools)  : Rupavahini State Awards Ceremony : Literary Contests : State Literary Contest  & Awards Ceremony : Assistance to Writers Project : Manuscript Competition : Book Stalls  : State Drama Contest & Festival : State-Short Drama Contest  & Festival : State Children's Drama Contest & Festival : State Dance Contest  & Festival : State Ballet  Contest  & Festival : State Children's  Contest &  Art Festival : Exhibition of Painters' Paintings : State Arts and Sculpture Contest &  Festival : State Music Ensemble : Songs Appreciation Programme : Legal Protection for Songs
Departments,Department of Census and Statistics,"""Sankyana Mandiraya""",306/71,Polduwa Road,Battaramulla.,,Director General,Dr. A.J. Satharasinghe,+94 11 2147001, Deputy Director ,Mr. P.M.R. Fernando , +94 11 2 147430, +94 11 2147000, +94 11 2147011, data.requests@statistics.gov.lk,http://www.statistics.gov.lk,Location Map,"Web Site : Library : Sales Counters : Obtaining Micro Data Files : Obtaining Schedules of Census and Surveys, Reports, Statistical Data"
Departments,Department of Buildings,2nd Floor,"""Sethsiripaya""",Battaramulla,,,Director General of Buildings,Eng. D.G.S. Jayakody,011-2862588, Director (Technical Development) ,Eng. Mrs. R. Maddewithana , 011-2864549, 2862917-2862922: 2889456, 011-2864771, info@buildingsdept.gov.lk: buildept@sltnet.lk,http://www.buildings.gov.lk,Location Map,
Departments,Department of Ayurweda,Old Rd,Nawinna,Maharagama.,,,Commissioner,Mr.Palitha Weerakoon,"+94 11 2847555, +94 11 2896909", Media Assistant ,Mr. K. M. C. Jayathissa ," +94 11 2896911, +94 11 2896912", +94 11 2896911: +94 11 2896912  , +94 11 2845537 , ita@ayurveda.gov.lk ,http://www.ayurveda.gov.lk,,Diploma Examination in Ayurveda (D.A.) : Application for Permission to Use the Title of Ayurveda : Mobile Medical Clinics : Establishment of a Medical Centre : Conduct of Ayruvedic Exhibitions : Provision of Books for Libraries : Provision of Herbal Drinks or Herbal Gruel : Start Herbal Gardens at School/Dhamma School : Visit to Haldummulla Herbal Garden  : Purchase of Herbal Plants : Visit to Other Herbal Gardens : To Become a Supplier : Ayruvedic Hospitals  : Ayurvedic Research Institute : National Institute of Indigenous Medicine
Departments,Department of Attorney General’s,Attorney General's DepartmentColombo 12.,,,,,Attorney General,"Mohan Peiris, President's Counsel",0094-11-2327166, State Counsel ,Shashikalum Perera , 0094-11-2381174, 0094-11-2320848 / 0094-11-2320854 / 0094-11-2327919 / 0094-11-2431603, 0094-11-2436421, administration@attorneygeneral.gov.lk,http://www.attorneygeneral.gov.lk,,Public Petitions : Criminal Prosecutions : Civil Matters
Departments,Department of Animal Production and Health,Department of Animal Production and HealthP.O.Box 13,PeradeniyaSri Lanka,,,,Director General,Dr. N. Wedasinghe,+94 81 2388195, Director (Livestock Planning and Economics) ,Dr.K.D.Ariyapala , +94 81 2388850, +94 81 2388195, +94 81 2388619, ,http://www.daph.gov.lk,,"01.Approval for Importation of Domestic and Wild Animals : 02.Approval for Importation of Ornamental Fish and Edible Fish for Aquaculture : 03.Approval for importation of meat and meat products : 04.Approval for importation of frozen fish and fish products : 05.Approval for importation of animal leather with fur : 06.Approval for importation of finished or semi processed leather : 07.Approval for importation of Deep frozen animal semen : 08.Approval for importation of day old chicks : 09.Approval for importation of feather and other poultry by products : 10.Registration of poultry breeder farms : 11.Registration of poultry abattoir and processing establishments : 12.Obtaining recommendations for importation of animal feed/materials  : 13.Providing license to manufacture / import animal feed/ingredients : 14.Registration of Veterinary pharmaceuticals  : 15.Approval for export of pet animals, ornamental fishes, meat and meat products, animal by products : 16.Registration of Livestock farms (excluding poultry farms)"
Departments,Department of Archaeology,Sir Marcus Frenando Mawatha,Colombo 07.,,,,Director General,Dr. Senarath Disanayake,+94 11 2 695255, Archaeological Reserch Assistant ,Mrs. W.R. J. Vasana Pramachandraa , +94 11 2 692840 / 41 Ext:- 401, +94 11 2 692840 / 41, +94 11 2 696514, info@archaeology.gov.lk,http://www.archaeology.gov.lk,,"Enquiries on Counseling Service : Conducting Special and Urgent Explorations  : Publishing : Declaration of Protected Ancient Monuments : Prevention of Destruction of Antiquities  : Archaeological Impact Assessment Surveys : Marine Archaeological Explorations : Obtaining Geographical Information on Archaeological Site and Monuments : Identification of Ancient Irrigation Technology, Research and Assurance : Action on District Files And Files on Quarries : Conducting Research on, Presentation of and Public Awareness on Epigraphy and Coins Available in Sri : Discovery of Epigraphy and Coins  : Preservation of Inscriptions : Registration, Reporting, Conservation and Public Displaying of Historic Sculptural Remains  : Conveyance of Knowledge, Perception, Education and Entertainment to the Public : Maintenance of Archaeological Prohibited Lands and Maintenance of Protected Monuments : Launching of Classical Publications : Training : Holding Exhibitions : Articles for the Newspaper “Dayada” : Seminar : Use of the Archaeological Department Library : Buy Publications : Request for Exhibitions : Request for Holding a Mobile Archaeological Book Stall : Get Help from Law : Conducting Excavation : Preservation : About Opperation"
Departments,Department of Agriculture,Old Galaha road,Peradeniya,Sri Lanka.,,,Director General of Agriculture, Dr. W.M.W. Weerakoon,+94-812-386484, Director General of Agriculture , Dr. W.M.W. Weerakoon , 0812-388157, +94-812-388 331:+94-812-388 332: +94-812-388 334, +94-812388333, dgagriculture@gmail.com,http://www.doa.gov.lk,Location Map,"Crop Clinic  : ස්ථීර බෝග සායන කටයුතු සඳහා තාක්ෂණික සහාය සහ සම්බන්ධීකරණය  : HORDI: Agriculture library services : Fumigation : Obtaining Technical Services on Plant Protection Activities : Agricultural Education for School Drop-outs : Agricultural Education for Public Officers : Development of Medium and Large Scale Lands As Commercial Farms : Soil Surveys : Obtaining Agro Climate Data : Obtaining Environmental Evaluation Reports : Mapping Using Geographical Information : Implementation of the Soil Conservation Act : Receiving Advice for Soil Conservation : ETC- Women’s Agriculture Extension Service : ICC: National telecasting on success stories of farmers  : ICC- Providing training on AV teaching aids and presentation technology  : ICC-  Radio programmes in Agriculture : ICC-  Sales of Agriculture publications : ICC-  agriculture advisory service  : ICC- Visits to Agriculture Technology Parks in Gannoruwa and Batatha : Extension &Training: Advisory service for establishing commercial farms : Extension &Training: Agriculture extension services in Inter-provincial areas  : ICC-  Duplicating VCD/DVD on agricultural TV programmes broadcasted : Extension &Training: Training on agriculture enterprise development : Extension &Training: Conducting Agriculture Exhibitions : FCRDI-Field Crops: Providing breeder seeds of OFC : FCRDC-Field Crops: Soil Testing Service  : FCRDI-Field crops: Soil Testing Service  : FCRDI-Field Crops: Solving field problems related to field crops  : HORDI-Horticultural crops: Supply of Horticultural Seed & Planting Material  : HORDI-Horticultural crops:Advisory Services to solve farmers problem : HORDI-Horticultural crops: Analytical services: ELISA  : HORDI-Horticultural crops: Analytical services: Soil & Organic manure analysis : HORDI-Horticultural crops:Training Programmes : RRDI-Rice: Dissemination of proven technologies and newly improved rice varieties : RRDI-Rice: Dissemination of proven technologies on Plant Protection, Agronomy, etc. : RRDI-Rice: Distribution of seed paddy : RRDI-Rice: Providing  field visits and diagnosis of problems of rice cultivation  : Providing seed paddy samples : RRDI-Rice: Soil testing : SCPPC-Pesticides: Awareness/ Training on Safe & effective use/handling of Pesticides  : SCPPC-Pesticides: Certification for Pesticides dealers  : SCPPC-Pesticides: Registration of Pesticides : SCPPC-Plant Genetic Resources: Providing information on plant genetic resources : SCPPC-Plant Protection: Advisory service and treatments for household pest control  : SCPPC-Plant Protection: Introduction of the Bio control agents to control some weeds : SCPPC-Plant Quarantine: Issuing phytosanitary certificate on agricultural commodities  : SCPPC-Seed Certification: Conducting inquiries on complaints against seed or planting materials : SCPPC-Seed Certification: Conducting post control verification trials against complaints : SCPPC-Seed Certification: Registration of fruit plant nurseries  : SCPPC-Seed Certification: Registration of seed and planting material handlers : SCPPC-Seed Certification: Registration of seed production crops and certification of produced seeds  : SCPPC-Seed Certification: Seed testing for locally produced or important seeds  : SCPPC-Seed Certification: Training and awareness programme on quality seed and planting material  : SCPPC:  Issuance of import permits to import plant, planting material and plant products"
Prime Minister's Office,Prime Minister’s Office,No 58,  Earnest de Silva Mawatha,  Colombo-07,,,Secretary to the Prime Minister,Mr. Saman Ekanayake,+94 11 2 575311, Coordinating Secretary to the Secretary to the Prime Minister ,Mrs. Thilini Gamage , +94 11 2 575311, +94 11 2 575317 / +94 11 2 575318 / +94 11 2 370737 / +94 11 2 370738, +94 11 2 575454 / +94 11 2 574713 / +94 11 2 575310, info@pmoffice.gov.lk;  secpm@sltnet.lk,http://www.pmoffice.gov.lk,Location Map,
Authorities,Tea Small Holdings Development Authority,No. 70Parliament RoadPelawattaBattaramulla,,,,,Chairman,Noel Padmasiri Kariyawasam,0112785451 / 53, Data Processing Manager ,Rohitha Waidyaratne , 0112787594, 011 2784926 / 011 2784927 / 011 2785609 / 011 2787594  /  0777 006617, 011 - 2784928 / 011 - 2784925, dpmtea@gmail.com,http://www.teaauthority.gov.lk,,Incentive payments for tea replanting : Payment of subsidy for rehabilitation of tea cultivation : Revolving fund loan scheme of Tea Development Project : Conducting extension services for cultivation : Checking of soil samples for acidity : Coordination of commercial tea nurseries : Issue of fertilizer through a fertilizer subsidy scheme : Society Registration
Authorities,Sustainable Energy Authority of Sri Lanka,3G-17, BMICH,,,,Director General,Dr. A.G.Thusitha Sugathapala,0112-697421/0112-2896879/0777-863956, Senior Executive ,Mr. Chaminda Liyanage , 0112-677445, 0112-677445, 0112-682534, info@energy.gov.lk,http://www.energy.gov.lk,"Bauddhaloka Mawatha, : Colombo 07.",
Authorities,Road Development Authority,No.216," ""Maganeguma Mahamedura""",,,,Director General ,Mr. D.K. Rohitha Swarna,Tel: +94 11 2862795," 1)Communication Assistant, Information Centre (1968)  2) Deputy Director (Maintenance Management Division) ",1) Information Centre(1968) 2) Deputy Director  ," 1) 1968  2) +94 11 2046200 (ext. 1616, 1617)", +94 11 2046200, , admin@rda.gov.lk,http://www.rda.gov.lk,"Denzil Kobbekaduwa Mawatha, : Battaramulla.",Registering Over-weight or Over-sized Vehicles : Obtaining Permission to Damage the Road to Get Water Connection : Permissions to Erect Buildings and Parapet Walls on Either Sides of a National Road.
Authorities,"Rehabilitation of Persons, Properties and Industries Authority ",�No.95.Ananda Rajakaruna Mawatha, Colombo - 10.,,,,Chairman,E.A.Samarasinghe,0112691177, Deputy Director - Administration ,S.M.Badurdeen , 0112691633, 0112691555:  0112691171: 0012691633: 0112691525, 011291033 - Chairman : 0112690263 - Deputy Director - Project, reppia_gen@sltnet.lk  : reppiaproject@gmail.com,http://,Location Map,UAS Housing Grnat : VIP Compensation : Government Servants  Property Compensation 
Authorities,National Child Protection Authority,No: 330,Thalawathugoda Road,Madiwela, Sri Jayawardenapura,Sri Lanka.,Chairperson,Mrs. Anoma Dissanayake,+115 759 961, Manager - Planning and Information ,Champika Chandrasekara , +11 2778911 / 12 / 14 , +11 2778911 / 12 / 14 , +11 2778915, ncpa@childprotection.gov.lk,http://www.childprotection.gov.lk,Location Map,"1929 Child Line Sri Lanka - 24 Hour call center : Dissemination of Information and publications on Child Protection : Introducing policies, procedures & making regulations to prevent and protect children from all type : Child related Legal support : Psychosocial intervention for Children : Exhibitions and Awareness Programmes : SURAKNA - Kinship Care Programme"
Authorities,National Housing Development Authority,P.O. Box 1826,Sir Chittampalam A Gardiner Mawatha,Colombo 02.,,,Chairman,Mr. L.S. Palansuriya,011-2446180, Deputy General Manager (Planing & Monitoring) ,W.Dhanachandra , 0112327500, +94-11-2421606/ +94-112-430410/ +94-112-431707/ +94-112-431722/ +94-112-421748, 011-2320058, chairman@nhda.lk,http://www.nhda.lk,Location Map,"Circuit Bungalows : PPP Housing : Grant for Kidney patient : housing, counseling  services : Providing Serviced  Land Plots  : Obtaining Housing Loans for Low Income Families : Obtaining Housing Grants for Poorest of the Poor Families : Housing Advisory Services : Maintaining Continuous Operation at Pumping Stations in Urban Housing Projects : Sale of Houses : Survey Activities : Obtain Serviced Land Plots for Construction of Houses. : Legal Activities of National Housing Development Authority : Hiring of Reception Halls"
Authorities,National Apprentice and Industrial Traning Authority,No 971,Sri Jayawardana Mawatha,Welikada,Rajagiriya.,,Chairman,Mr. Amal Senalankadhikara,"+94-11-2-866901, +94-11-2-876386", Dirctor Training  ,Mr. J.C.K.Basnayake , +94-11-2-866901 , +94 -11-2-867435: +94-11-2-863680 , +94-11–2863737, naitasltlk@yahoo.com,http://www.naita.slt.lk,,Apprentice Training  : Granting of National Vocational Qualification.  : National Vocational Test : Special Industrial Traning : Traning center : Recognition of Prior Learning
Authorities,National Aquaculture Development Authority of Sri Lanka (NAQDA),No. 41/1, New Parliament Road,,,,Chairman,Mr. Jayantha Chandrasoma,"No. 41/1, New Parliament Road
Pelawatta, Battaramulla.",  , , , 011 2786497, 011 2786497, chairman@naqda.gov.lk,http://www.naqda.gov.lk,"Pelawatta, Battaramulla.",
Authorities,Mahaweli Authority of Sri Lanka,No 500T.B.Jayath MawathaColombo 10.,,,,,Director General,Mr. Gamini Rajakaruna,011 – 2687491 – 5, Web Administrator ,Roshan Dananjaya Sooriyaarchchi , 011-2698496 / 011-2697197, 011 – 2687491 – 5 , Fax - 011 – 2687240 , roshan@mahaweli.gov.lk,http://www.mahaweli.gov.lk,Location Map,"H R & ID  - Functions and Services : Visit Mahaweli Dams : Land Division - Functions and Services : PMU - Functions and Services : Personnel and Administration - Functions and Services : Agriculture - Functions and Services : Water Management - Functions and Services : Information about Mahaweli : Permission to remove timber, sand & minerals : Study on Mahaweli : Secretariat - Functions and Services : Naming the spouse, successor, problems regarding Permits and Grants. : Project Implementation - Functions and Services : Apply for tenders : Problems on taxes : Lands for industries : land for business : land for Agricultural Purposes : Mahaweli skilled labour : skilled labour to Entrepreneurs : Forward agreement to purchasing farm products : purchase Mahaweli Production : Bamboo Plants : Obtain the services of Mahaweli Center : Inform about hazards : Reserve a Circuit Bungalow"
Authorities,Marine Environment Protection Authority,No:758,2nd Floor,Baseline Road,Colombo 09.,,Chairman,Mr. T N Wijegoonewardane,0714-214754/0112-687520, Accountant ,D R C Jayawaradana , 0718-174885/0112687520, 0112687520/0112690605/0012690604, 0112687451/014615960, acct@mppa.gov.lk/ruwanja.gmail.com,http://www.mepa.gov.lk,,WRS
Authorities,Consumer Affairs Authority,Consumer Affairs Authority1st& 2nd floor,CWE Secretariat Building,No: 27,Vauxhall Street,Colombo 02.,Chairman,Mr.W.HasithaTillekeratne,+94 112 399 146/+94 117 755 472, Director - Consumer Affairs & Information ,Mrs.C.N.Thilakarathne , 011-7755466, 011-7755456-7: 011-7755475 Consumer Complaint 011-7755481-3, 011-2399149, chairmancaa@sltnet.lk / dgcaa@sltnet.lk,http://www.caa.gov.lk,Location Map,"Consumer Education, Empowerment and Promoting the Establishment of Consumer Societies : Trader Awareness Programs : Market Surveys & Market Reserch : Conducting Inquiries in Terms of Sections 13(4) and 32(b) in order to Grant Redress to Consumer : Control/Eliminate Restrictive Trade Agreements Among Traders : Investigations on Anti-competitive Practices : Stabilisation of Prices of Essential Commodities : Make Complaints on Consumer Affairs : Conducting Market Investigations and Raids"
Authorities,Condominium Management Authority,1st Floor,National Housing Department Building,Sir Chithampalam A Gardiner Mawatha,Colombo 02.,,Chairman,Mr. K. A. Thilakarathna,011-2334152, General Manager ,Mr. G. U. Upawansha. , 011-2424027 / 011-2321584, 011-2447429 / 011-2447432 , 2423606 / 2543502, cmastaff@slt.lk,http://www.condominium.lk,Location Map,Establishing Management Coporation and Commitees  : Condominium Certificate  : Legal consultant for the condominium property  : Removing unauthorized construction  : Circuit Bungalow Reservation - Kataragama 
Authorities,Coconut Development Authority,54, Nawala Road,Narahenpita,Colombo 5.,,Chairman,Mr. J.T.S.P. Kariyawasam,94 11 2502501, Information Officer ,Mrs.Wasuladattha Herath , 94 11 2502502-4, 94 11 2502502-4:2368284-5: 2368982-3, 94 11 2508729, chairmancda@sltnet.lk/ cocoauth@panlanka.net/ dgcda@sltnet.l,http://www.cda.lk,Location Map,
Authorities,Civil Aviation Authority,No:4,Hunupitiya Cross Road,Colombo-02,,,Chairman,Mr. Mohamed Shibly Aziz,+94 11 2304633, Programme Assistant ,Ms. Lakpani Dias , , 011-2304632, 011-2304644, info@caa.lk,http://www.caa.lk,Location Map,"Issuance of SPL  :  Issuance of CPL/IR conversion  :  Registration of Aircraft :  Renewal of SPL   : Renewal of SPL  : AML Issuance : AML Extension for other category : English Language Proficiency Check : High Rise Structure Approval : ATPL Conversion : Direct Issuance of CPL/IR : Air Transport Provider Liscence Issuence : ATPL Renewal  :  Approval of amendments for Manuals of Aircraft Maintenance Organisations : Approval of Aircraft Maintenance Organisations (AMO), including facility Inspection (foreign) : Issuance of Assistant Flight Instructor Rating : Issuance of Flight Instructor Rating : Issuance of Air Traffic Controller Licence :  Issuance of Air Traffic Controller Licence : Approval of a workshop of Aircraft Maintenance Organisation : Flying School Licence : Ground Instructor Authority : Ground Instructor Licence : Air Traffic Controller Licence : Air Traffic Controller Ratings : PPL : Technical Examination Aeroplane/ Helicopter For [CPL, CPL/IR, IR Integrated] : Conversion of Foreign Licence –PPL/CPL/CPL-IR/ATPL : Conducting Validation Examination : Approval of Import / Export of  Spare Parts :  Approval of Technical Training  Organizations (TTO) of Aircraft Maintenance Engineers :  Evaluation & Approval of Training  Control Manual (TCM) of Technical Training Organisations : Approval of Aircraft Maintenance  Organisations (AMO), Including facility Inspection (local) : Evaluation & Approval of Maintenance Control Manual : Renewal of Certificate of Airworthiness : Issuance of Certificate of  Airworthiness : AME Renewal : Conducting Validation Examination : Registration of Aircraft : Renewal of Registration : Air Transport Providers Licence "
Authorities,Central Environmental Authority,No.104,Denzil Kobbekaduwa Mawatha,Battaramulla.,,,Chairman,Prof. Lal Mervin Dharmasiri,+94-11-2872348 / +94-11-2872361, System Analyst ,Mr. L. S. De Silva , +94-11-2076425, +94-11-2872278 / +94-11-2872263 / +94-11-2873447-49, +94-11-2872601, ceainfo@cea.lk,http://www.cea.lk,Location Map,Implement Environmental Protection Licensing Procedure : Implement Environmental Recommendation Procedure : Resolve Public Complaints Related to Environmental Pollution : Obtaining Environmental Approval for Projects : How to Dispose Your Electronic Waste in an Environmental Friendly Manner : Disposal of Plastic Waste
Boards,Sri Lanka Handicrafts Board,Contact Person,,,,,,,,  , , , , , ,http://,,
Boards,Sri Lanka Social Security Board,No: 125,,,,,Chairperson,Attorney Sumana Ariyadasa,"011 2369321, 0112369141", Manager Admin ,Ms. Dayani Pushpalatha ," 011 2369321, 0112369141", 011 2369321: 0112369141, 011 2369321: 0112369141, slssbcha@sltnet.lk,http://ssb.gov.lk,Nawala Road : Narahenpita : Colombo 05 : Sri Lanka,Enrollment : Pay Installment : Refund : Gratuity : Obtain Pension
Boards,National Water Supply and Drainage Board,Galle Road, Ratmalana, Sri Lanka,,,Chairman,Eng. Karunasena Hettiarachchi ,+94 11 2634488, Deputy General Manager (Corporate Planning) ,Eng. R. S. C. George , +94 11 2637180, +94 11 2638999 (hunting): +94 11 2611589, +94 11 2636449, gm@waterboard.lk: dgmcp@waterboard.lk,http://http://www.waterboard.lk,Location Map,
Boards,Sri Lanka Export Development Board,NDB/EDB TowerNo. 42, Navam Mawatha,Colombo 02.Sri LankaPO Box 1872,,,Chairperson & Chief Executive,Ms. Indira Malwatte,+94-11-2300712, Director - Information Technology Division ,Ms. Indu Alahapperuma , +94-11-2300679, +94-11-2300705 -11, +94-11-2300715,  edb@edb.gov.lk,http://www.srilankabusiness.com,Location Map,Registration of Exporters : Export Marketing Support : Agriculture Based Products & Market Related Information : Industrial Based Products & Market Related Information : Export Services (ICT/ BPO/KPO and Professional Services) : On-Line Marketing Services : Advisory Services on Export & Export Import Procedures : Obtaining Trade Information/ Statistics  : Business Library Service : Sri Lanka Directory of Exporters : Training Programme for the Export Procedures & Packaging  : Assisting Exporters to Resolve Their Problems/Issues : Regional Development : Export Oriented Enterprise Development
Boards,Insurance Board of Sri Lanka,Insurance Board of Sri Lanka,,,,,,,,  , , , 0112396184-9, 0112396190, info@ibsl.gov.lk,http://http://www.ibsl.gov.lk/,"Level 11, East Tower, : World Trade Centre, : Colombo 1.",
Boards,National Livestock Development Board,No. 40, Nawala Road, Narahenpita, Colombo 05.,,,,,  ,Mr. D. H. V. Perera , , 0094-11-2369804, 0094-11-2502693, nldbgm@sltnet.lk,http://www.nldb.gov.lk,,Obtaining of high breed animals for farmers : Buying dairy and animal products : Obtaining of compost and agricultural plants : Registration of suppliers
Boards,Industrial Development Board,615,Galle Road, Katubedda, Moratuwa,,Chairman,Mr. Mahinda Jinasena,+94-11-2605887 / +94-11-2607175, Assistant Director ,Mrs. K.S.C. Wijekoon , +94-11-2605372, +94-11-2605326 / 2605394 / 2605452 / 2624846, +94-11-2607002, info@idb.gov.lk: chairman@idb.gov.lk,http://www.idb.gov.lk,Location Map,Provision of Industrial Information and Consultancy Services : Provision of Technology Training : Provision of Entrepreneurship Development Services and Developed Lands to Industrialists : Provision of Extension Services : Provision of Engineering Services : Market Promotion Services and Provision of Ferrous and Non Ferrous  Raw Materials
Boards,Coconut Cultivation Board,9/428,Denzil Kobbekaduwa MawathBattaramulla,,,,Chairman,Mr. Kapila Yakandawala,"Tp:011 2861330
Fax:011 5549501
Email Address:chairman@coconut.gov.lk", Genaral Manager ,Mr. K.D.L.Dharmasiri , 011 5549502, 0112861331, 0114955507, ccb@sltnet.lk,http://www.coconut.gov.lk,,New Planting Subsidy : Replanting subsidy : Under planting subsidy : Kapruka Loan : seedling subsidy
Boards,Development Lotteries Board,Dr. Colvin R. De Silva Mawatha	Union Place,Colombo 02.,,,,Chairman/CEO,Dr. Chandrawansa Pathiraja,011 2424316, Asst. General Manager ,Mr. Chanaka Dodangodage , 0112 333549, 0114 824824: 0112 333546: 7, 0112 333545, devlottr@sltnet.lk: dlbit@dlb.lk,http://www.dlb.lk,Location Map,
Boards,Employees' Trust Fund Board (E.T.F),1st Floor,                                                         Labour Secretariat,P O Box 807,Narahenpita,Colombo 5,Chairman/CEO,Mr.Mahinda Madihahewa,+94-11-2503410, Asst. General Manager (Member Services) ,Mr. H M Seneviratna , +94-11-2368037, +94-11-2581704 +94-11-2503941 +94-11-2503943 +94-11-2503951 +94-11-2588709 +94-11-2589937 +94-11-2503936 +94-11-4519627 +94-11-4519628 +94-11-4519631, +94-11-2503917, inquiry@etfb.lk,http://www.etfb.lk,Location Map,Services Provided by the Board. : Benefit Schemes Available to ETF  Members : ETF e-payment scheme : e   Services of the  ETFB : About ETF Board : Employer Details : Payment of Contributions  : Employed Members : Self Employed Members : Statutory Benefits : Non Statutory Benefits : eServices
