_ - category - category,_ - name - name,_ - gi_fax,_ - cp_name,_ - gi_email,_ - cp_contact,_ - gi_website,_ - gi_telephone,_ - cp_designation,_ - address_line_4,_ - address_line_2,_ - address_line_3,_ - address_line_1,_ - hod_designation - hod_designation,_ - hod_name - hod_name,_ - hod_contact - hod_contact,_ - services - services
Ministries,Ministry of Lands,+94 11 2887445, ,seclme@sltnet.lk,[u' '],['http://www.landmin.gov.lk'],+94 11 2797500,  ,Rajamalwatta Avenue,Land Secretariat,No.1200/6,"""Mihikatha Medura""",Secretary,Mr.W.H.Karunarathne,Tel : +94 11 2888907,
Ministries,Ministry of Justice,+94 11 2 320785,Mrs. L.P.U.M. Liyanage ,ao[at]moj[dot]gov[dot]lk / info[at]moj[dot]gov[dot]lk,[u' +94 11 2 329146'],['http://www.moj.gov.lk%E2%80%8B'],+94 11 2 323022, Administrative Officer ,,,,Superior Courts ComplexColombo -12,Secretary,Mrs. W.M.M.R.Adikari,Tel: (+94) 112 449 959/112 323 979,
Ministries,Ministry of Housing and Construction,+94 11 2 867952 / +94 11 2 888151,Mr. A M R J K Jayasinghe ,info@houseconmin.gov.lk: sas@houseconmin.gov.lk,[u' +94 11 2 867947'],['http://www.houseconmin.gov.lk'],+94 11 2 882412 / +94 11 2 861587, Senior Assistant Secretary ,Battaramulla,“Sethsiripaya”,Sri Jayawardenepura Kotte,2nd Floor,Secretary,Mr. Bernard Wasantha,Tel :- +94 11 2 862225,
Ministries,Ministry of Labour and Trade Union Relations,+94 11 2582938: +94 11 2368165: +94 11 2368200,Mr.R.P.A.S. Kumarasinghe ,labourministrysrilanka@gmail.com,[u' +94 11 2586337'],['http://www.labourmin.gov.lk'],+94 11 2581991, Senior Assistant Secretary (Admin) ,,Labour SecretariatNarahenpitaColombo-05,,P.O. Box .1519,Secretary,Mr. S M Gotabaya Jayaratne,+94 11 2 368164,Publications
Ministries,Ministry of Home Affairs,112683665, ,info@moha.gov.lk,[u' '],['http://http://www.moha.gov.lk'],112682900,  ,,,,Independence SquareColombo -07,Secretary,Mr. S.T. Kodikara,"Telephone :+94 11 2682900,+94 11 5999634,+94 11 5999633
Fax:+94 11 2 683 665",
Ministries,Ministry of Industry & Commerce,+94 11 2 449402,Mr. W.T.H.R. Withana ,secretary@industry.gov.lk,[u' +94 11 2 433725'],['http://www.industry.gov.lk'],+94 11 2 392149 / +94 11 2 392150 / +94 11 2 392154, Director  ,,Galle RoadColombo-03,,P.O. Box .570No. 73/1,Secretary,Mr. T. M. K. B. Tennakoon,Tel : +94 11 2 436123/4,Obtain information regarding Tariff matters : Obtain recommendations to automobile assembling industries for excise duty exemption. : Obtain Inward processing scheme for TIEP : Issuing recommendation to obtain residence visas : Obtain recommendation to import of multi-layered packing materials for liquid milk & fruit juices un : Obtain Industry Registration Information : Obtain information regarding to import & export facilities and encouraging the Apparel Exporters in : Obtain recommendation to get Residence Visas for apperal industry : Obtain Provision of Special Tax Concession : Allocation of Lands to Investors from Industrial Estates 
Ministries,Ministry of Higher Education & Cultural Affairs,+94 11 2 697239: +94 11 2 671355,Mr. L. P. H. Waduge ,info@mohe.gov.lk: d-ict@mohe.gov.lk,[u' +94 11 2687510'],['http://www.mohe.gov.lk'],+94 11 2694486: 2697133: 2697721: 2691378, Director (IT) ,,Ward Place,Colombo-07,No. 18,Secretary,Mr. J. J. Rathnasiri,Tel : +94 11 2 696679 / +94 11 5115201,
Ministries,"Ministry of Health, Nutrition & Indigenous Medicine",+94 11 2 692913 / +94 11 2 693869, ,dirhinfo@health.gov.lk ; postmaster@heallh.gov.lk,[u' '],"['http://www.health.gov.lk,%20www.indigenousmedimini.gov.lk']",(+94)112 694033: 2 675011: 2 675449: 2 693493: 2 675280: 2 669192,  ,Dr. N.M. Perera Mawatha,Ven. Baddegama Wimalawansa Mawatha,"Colombo-10

Indigenous Medicine Division325",Health & Nutrition DivisionNo. 385,Secretary,Mr. Janaka Sugathadasa,"Tel : +94 11 2 698511, 11 2 698517",
Ministries,Ministry of Fisheries and Water Resources,+94 11 2 446184, ,secfisherieslk@gmail.com: secretary@fisheries.gov.lk,[u' '],['http://www.fisheries.gov.lk'],+94 11 2 446183 / 5,  ,,,,New SecretariatMaligawatteColombo-10,Secretary,Mrs. W. M. M. R. Adhikari,"
					",
Ministries,Ministry of Foreign Employment,+94 11 2 477950,Mr.S.J.S.Chandraguptha ,secyces@gmail.com: secy@fepwministry.net,[u' +94 11 2 477981'],['http://www.foreignemploymin.gov.lk'],+94 11 2 477971, Senior Assistant Secretary ,No. 30,12th Floor,Central Bank Building,Tower 5,Secretary,Mr. Wasantha Deshapriya,Tel :- +94 11 2 477982,
Ministries,Ministry of Finance,+94 11 2 449823,Mr. M G Jayatissa ,info@mo.treasury.gov.lk,[u' +94 11 2 484530'],['http://www.treasury.gov.lk'],+94 11 2 484500 / +94 11 2 484600 / +94 11 2 484700, Director (Media & Public Relations) ,,Colombo 01,,The Secretariat,Secretary,Dr. R. H. S. Samarathunga,+94 11 2 484511,
Ministries,Ministry of Disaster Management,+94-112-665098, ,,[u' '],['http://www.disastermin.gov.lk'],+94-112-665170 / +94-112-665185,  ,,Colombo 07.,,Vidya Mawatha,Secretary,Mr. S S Miyanawala,T :- +94-112-665389,
Ministries,Ministry of Education,+94 11 2 785162,Ms. M.A.Vasana Edirisuriya ,secretary.education@moe.gov.lk; info@moe.gov.lk,[u' +94 11 2 785821'],['http://www.moe.gov.lk'],+94 11 2 785141 - +94 11 2 785150 , Deputy Director ,,Battaramulla.,,"""Isurupaya""
Pelawatta",Secretary,Mr.Sunil Hettiarachchi,Tel : +94 11 2 784811,Vision & Mission : Provincial & Zonal Office Informations
Ministries,Ministry of Buddha Sasana,+94 11 2 337555, ,,[u' '],['http://'],+94 11 2 307674: +94 11 2 307694,  ,, Srimath Anagarika Dharmapala Mawatha,Colombo 07.,No. 135,Secretary,Mr. Wasantha Ekanayake,Tel : +94 11 2 307905,
Authorities,Urban Development Authority,011-2872390,Mrs. Pushpa Gamage ,info@uda.lk,[u' +94-011-2872390'],['http://www.uda.lk%20'],011-2875916 to 2875920: 011-2873644: 011-2873647: 011-2873649: 011-2873651: 011-2873652: 011-2875333, Director (GIS) ,,,,"6th and 7th Floors""SETHSIRIPAYA""Battaramulla",Chairman,Mr. Nimal Perera,+94-011-2877471 / 73,Obtaining a Permit for Development Activities :  Obtaining Preliminary Planning Clearance for Development Activities : Obtaining Preliminary Planning Clearance for Change of Use : Obtaining Preliminary Planning Clearance for BOI Projects : Obtaining Preliminary Planning Clearance for Hotel Projects : Obtaining Preliminary Planning Clearance for Telecommunication Towers : Obtaining planning clearance for the development of low-lying lands and paddy lands : Removal of unauthorized constructions : Obtaining lands belong to urban development authority for development activities : Claiming of compensation by owners of all lands acquired : Obtaining particulars of settlers in the acquired and vested lands of UDA : Filing action by legal division in terms of the urban development act : Preparation of deeds by the legal division in terms of the urban development authority act : Preparation of agreements by the legal division in terms of the urban development act : Obtaining a resolution for the environmental Impacts from the development projects : Obtaining Consultancy Services for Projects : Obtaining Kala duwa in the Bairai lake on rent basis for various requirments
Ministries,Ministry of Agriculture,+94-11-2868910, ,secagric@sltnet.lk; ituagrimin@gmail.com,[u' '],['http://www.agrimin.gov.lk'],+94 11 2 869553: +94 11 2 872093: +94 11 2 872097: +94 11 2 888902: +94 11 2 888908: +94 11 2 887421,  ,,Rajamalwatte LaneBattaramulla,,"""Govijana Mandiraya""80/5",Secretary,Mr. B Wijayaratna,"T :- +94 11 2 868920,",
Authorities,Tourism Development Authority of Sri Lanka,112437953,Mr Udana Wickramasinghe ,chairman@srilanka.travel,[u' 0112426923'],['http://www.sltda.gov.lk'],0112437059: 0112437060:, Director/ICT ,,Galle Road,Colombo 03,No 80,Chairman,Dr. Nalaka Godahewa,112437759,Bandarawela National Holiday Resort : Nuwara Eliya National Holiday Resort : Standards and Quality Assurance : Lesser Known Attraction Project : Colombo City Tour : Staff Officer in charge of the Service –  : Domestic Tourism and Resort Management  : Resort Reservation  : Kataragama National Holiday Resort
Authorities,Tea Small Holdings Development Authority,011 - 2784928 / 011 - 2784925,Rohitha Waidyaratne ,dpmtea@gmail.com,[u' 0112787594'],['http://www.teaauthority.gov.lk'],011 2784926 / 011 2784927 / 011 2785609 / 011 2787594  /  0777 006617, Data Processing Manager ,,,,No. 70Parliament RoadPelawattaBattaramulla,Chairman,Noel Padmasiri Kariyawasam,0112785451 / 53,Incentive payments for tea replanting : Payment of subsidy for rehabilitation of tea cultivation : Revolving fund loan scheme of Tea Development Project : Conducting extension services for cultivation : Checking of soil samples for acidity : Coordination of commercial tea nurseries : Issue of fertilizer through a fertilizer subsidy scheme : Society Registration
Authorities,"Rehabilitation of Persons, Properties and Industries Authority ",011291033 - Chairman : 0112690263 - Deputy Director - Project,S.M.Badurdeen ,reppia_gen@sltnet.lk  : reppiaproject@gmail.com,[u' 0112691633'],['http://'],0112691555:  0112691171: 0012691633: 0112691525, Deputy Director - Administration ,, Colombo - 10.,,�No.95.Ananda Rajakaruna Mawatha,Chairman,E.A.Samarasinghe,112691177,UAS Housing Grnat : VIP Compensation : Government Servants  Property Compensation 
Authorities,National Housing Development Authority,011-2320058,W.Dhanachandra ,chairman@nhda.lk,[u' 0112327500'],['http://www.nhda.lk'],+94-11-2421606/ +94-112-430410/ +94-112-431707/ +94-112-431722/ +94-112-421748, Deputy General Manager (Planing & Monitoring) ,,Sir Chittampalam A Gardiner Mawatha,Colombo 02.,P.O. Box 1826,Chairman,Mr. L.S. Palansuriya,011-2446180,"Circuit Bungalows : PPP Housing : Grant for Kidney patient : housing, counseling  services : Providing Serviced  Land Plots  : Obtaining Housing Loans for Low Income Families : Obtaining Housing Grants for Poorest of the Poor Families : Housing Advisory Services : Maintaining Continuous Operation at Pumping Stations in Urban Housing Projects : Sale of Houses : Survey Activities : Obtain Serviced Land Plots for Construction of Houses. : Legal Activities of National Housing Development Authority : Hiring of Reception Halls"
Authorities,National Child Protection Authority,+11 2778915,Champika Chandrasekara ,ncpa@childprotection.gov.lk,[u' +11 2778911 / 12 / 14 '],['http://www.childprotection.gov.lk'],+11 2778911 / 12 / 14 , Manager - Planning and Information , Sri Jayawardenapura,Thalawathugoda Road,Madiwela,No: 330,Chairperson,Mrs. Anoma Dissanayake,+115 759 961,"1929 Child Line Sri Lanka - 24 Hour call center : Dissemination of Information and publications on Child Protection : Introducing policies, procedures & making regulations to prevent and protect children from all type : Child related Legal support : Psychosocial intervention for Children : Exhibitions and Awareness Programmes : SURAKNA - Kinship Care Programme"
Authorities,National Aquaculture Development Authority of Sri Lanka (NAQDA),011 2786497, ,chairman@naqda.gov.lk,[u' '],['http://www.naqda.gov.lk'],011 2786497,  ,, New Parliament Road,,No. 41/1,Chairman,Mr. Jayantha Chandrasoma,"No. 41/1, New Parliament Road
Pelawatta, Battaramulla.",
Authorities,National Apprentice and Industrial Traning Authority,+94-11–2863737,Mr. J.C.K.Basnayake ,naitasltlk@yahoo.com,[u' +94-11-2-866901 '],['http://www.naita.slt.lk'],+94 -11-2-867435: +94-11-2-863680 , Dirctor Training  ,Rajagiriya.,Sri Jayawardana Mawatha,Welikada,No 971,Chairman,Mr. Amal Senalankadhikara,"+94-11-2-866901, +94-11-2-876386",Apprentice Training  : Granting of National Vocational Qualification.  : National Vocational Test : Special Industrial Traning : Traning center : Recognition of Prior Learning
Authorities,Mahaweli Authority of Sri Lanka,Fax - 011 – 2687240 ,Roshan Dananjaya Sooriyaarchchi ,roshan@mahaweli.gov.lk,[u' 011-2698496 / 011-2697197'],['http://www.mahaweli.gov.lk'],011 – 2687491 – 5 , Web Administrator ,,,,No 500T.B.Jayath MawathaColombo 10.,Director General,Mr. Gamini Rajakaruna,011 – 2687491 – 5,"H R & ID  - Functions and Services : Visit Mahaweli Dams : Land Division - Functions and Services : PMU - Functions and Services : Personnel and Administration - Functions and Services : Agriculture - Functions and Services : Water Management - Functions and Services : Information about Mahaweli : Permission to remove timber, sand & minerals : Study on Mahaweli : Secretariat - Functions and Services : Naming the spouse, successor, problems regarding Permits and Grants. : Project Implementation - Functions and Services : Apply for tenders : Problems on taxes : Lands for industries : land for business : land for Agricultural Purposes : Mahaweli skilled labour : skilled labour to Entrepreneurs : Forward agreement to purchasing farm products : purchase Mahaweli Production : Bamboo Plants : Obtain the services of Mahaweli Center : Inform about hazards : Reserve a Circuit Bungalow"
Authorities,Marine Environment Protection Authority,0112687451/014615960,D R C Jayawaradana ,acct@mppa.gov.lk/ruwanja.gmail.com,[u' 0718-174885/0112687520'],['http://www.mepa.gov.lk'],0112687520/0112690605/0012690604, Accountant ,Colombo 09.,2nd Floor,Baseline Road,No:758,Chairman,Mr. T N Wijegoonewardane,0714-214754/0112-687520,WRS
Authorities,Consumer Affairs Authority,011-2399149,Mrs.C.N.Thilakarathne ,chairmancaa@sltnet.lk / dgcaa@sltnet.lk,[u' 011-7755466'],['http://www.caa.gov.lk'],011-7755456-7: 011-7755475 Consumer Complaint 011-7755481-3, Director - Consumer Affairs & Information ,Vauxhall Street,CWE Secretariat Building,No: 27,Consumer Affairs Authority1st& 2nd floor,Chairman,Mr.W.HasithaTillekeratne,+94 112 399 146/+94 117 755 472,"Consumer Education, Empowerment and Promoting the Establishment of Consumer Societies : Trader Awareness Programs : Market Surveys & Market Reserch : Conducting Inquiries in Terms of Sections 13(4) and 32(b) in order to Grant Redress to Consumer : Control/Eliminate Restrictive Trade Agreements Among Traders : Investigations on Anti-competitive Practices : Stabilisation of Prices of Essential Commodities : Make Complaints on Consumer Affairs : Conducting Market Investigations and Raids"
Authorities,Coconut Development Authority,94 11 2508729,Mrs.Wasuladattha Herath ,chairmancda@sltnet.lk/ cocoauth@panlanka.net/ dgcda@sltnet.l,[u' 94 11 2502502-4'],['http://www.cda.lk'],94 11 2502502-4:2368284-5: 2368982-3, Information Officer ,Colombo 5., Nawala Road,Narahenpita,54,Chairman,Mr. J.T.S.P. Kariyawasam,94 11 2502501,
Authorities,Condominium Management Authority,2423606 / 2543502,Mr. G. U. Upawansha. ,cmastaff@slt.lk,[u' 011-2424027 / 011-2321584'],['http://www.condominium.lk'],011-2447429 / 011-2447432 , General Manager ,Colombo 02.,National Housing Department Building,Sir Chithampalam A Gardiner Mawatha,1st Floor,Chairman,Mr. K. A. Thilakarathna,011-2334152,Establishing Management Coporation and Commitees  : Condominium Certificate  : Legal consultant for the condominium property  : Removing unauthorized construction  : Circuit Bungalow Reservation - Kataragama 
Authorities,Civil Aviation Authority,011-2304644,Ms. Lakpani Dias ,info@caa.lk,[u' '],['http://www.caa.lk'],011-2304632, Programme Assistant ,,Hunupitiya Cross Road,Colombo-02,No:4,Chairman,Mr. Mohamed Shibly Aziz,+94 11 2304633,"Issuance of SPL  :  Issuance of CPL/IR conversion  :  Registration of Aircraft :  Renewal of SPL   : Renewal of SPL  : AML Issuance : AML Extension for other category : English Language Proficiency Check : High Rise Structure Approval : ATPL Conversion : Direct Issuance of CPL/IR : Air Transport Provider Liscence Issuence : ATPL Renewal  :  Approval of amendments for Manuals of Aircraft Maintenance Organisations : Approval of Aircraft Maintenance Organisations (AMO), including facility Inspection (foreign) : Issuance of Assistant Flight Instructor Rating : Issuance of Flight Instructor Rating : Issuance of Air Traffic Controller Licence :  Issuance of Air Traffic Controller Licence : Approval of a workshop of Aircraft Maintenance Organisation : Flying School Licence : Ground Instructor Authority : Ground Instructor Licence : Air Traffic Controller Licence : Air Traffic Controller Ratings : PPL : Technical Examination Aeroplane/ Helicopter For [CPL, CPL/IR, IR Integrated] : Conversion of Foreign Licence –PPL/CPL/CPL-IR/ATPL : Conducting Validation Examination : Approval of Import / Export of  Spare Parts :  Approval of Technical Training  Organizations (TTO) of Aircraft Maintenance Engineers :  Evaluation & Approval of Training  Control Manual (TCM) of Technical Training Organisations : Approval of Aircraft Maintenance  Organisations (AMO), Including facility Inspection (local) : Evaluation & Approval of Maintenance Control Manual : Renewal of Certificate of Airworthiness : Issuance of Certificate of  Airworthiness : AME Renewal : Conducting Validation Examination : Registration of Aircraft : Renewal of Registration : Air Transport Providers Licence "
Authorities,Central Environmental Authority,+94-11-2872601,Mr. L. S. De Silva ,ceainfo@cea.lk,[u' +94-11-2076425'],['http://www.cea.lk'],+94-11-2872278 / +94-11-2872263 / +94-11-2873447-49, System Analyst ,,Denzil Kobbekaduwa Mawatha,Battaramulla.,No.104,Chairman,Prof. Lal Mervin Dharmasiri,+94-11-2872348 / +94-11-2872361,Implement Environmental Protection Licensing Procedure : Implement Environmental Recommendation Procedure : Resolve Public Complaints Related to Environmental Pollution : Obtaining Environmental Approval for Projects : How to Dispose Your Electronic Waste in an Environmental Friendly Manner : Disposal of Plastic Waste
Boards,Sri Lanka Export Development Board,+94-11-2300715,Ms. Indu Alahapperuma , edb@edb.gov.lk,[u' +94-11-2300679'],['http://www.srilankabusiness.com'],+94-11-2300705 -11, Director - Information Technology Division ,, Navam Mawatha,Colombo 02.Sri LankaPO Box 1872,NDB/EDB TowerNo. 42,Chairperson & Chief Executive,Ms. Indira Malwatte,+94-11-2300712,Registration of Exporters : Export Marketing Support : Agriculture Based Products & Market Related Information : Industrial Based Products & Market Related Information : Export Services (ICT/ BPO/KPO and Professional Services) : On-Line Marketing Services : Advisory Services on Export & Export Import Procedures : Obtaining Trade Information/ Statistics  : Business Library Service : Sri Lanka Directory of Exporters : Training Programme for the Export Procedures & Packaging  : Assisting Exporters to Resolve Their Problems/Issues : Regional Development : Export Oriented Enterprise Development
Boards,National Livestock Development Board,0094-11-2502693,Mr. D. H. V. Perera ,nldbgm@sltnet.lk,[u' '],['http://www.nldb.gov.lk'],0094-11-2369804,  , Colombo 05., Nawala Road, Narahenpita,No. 40,,,,Obtaining of high breed animals for farmers : Buying dairy and animal products : Obtaining of compost and agricultural plants : Registration of suppliers
Boards,Industrial Development Board,+94-11-2607002,Mrs. K.S.C. Wijekoon ,info@idb.gov.lk: chairman@idb.gov.lk,[u' +94-11-2605372'],['http://www.idb.gov.lk'],+94-11-2605326 / 2605394 / 2605452 / 2624846, Assistant Director , Moratuwa,Galle Road, Katubedda,615,Chairman,Mr. Mahinda Jinasena,+94-11-2605887 / +94-11-2607175,Provision of Industrial Information and Consultancy Services : Provision of Technology Training : Provision of Entrepreneurship Development Services and Developed Lands to Industrialists : Provision of Extension Services : Provision of Engineering Services : Market Promotion Services and Provision of Ferrous and Non Ferrous  Raw Materials
Boards,National Water Supply and Drainage Board,+94 11 2636449,Eng. R. S. C. George ,gm@waterboard.lk: dgmcp@waterboard.lk,[u' +94 11 2637180'],['http://http://www.waterboard.lk'],+94 11 2638999 (hunting): +94 11 2611589, Deputy General Manager (Corporate Planning) ,, Ratmalana, Sri Lanka,Galle Road,Chairman,Eng. Karunasena Hettiarachchi ,+94 11 2634488,
Boards,Development Lotteries Board,0112 333545,Mr. Chanaka Dodangodage ,devlottr@sltnet.lk: dlbit@dlb.lk,[u' 0112 333549'],['http://www.dlb.lk'],0114 824824: 0112 333546: 7, Asst. General Manager ,,Colombo 02.,,Dr. Colvin R. De Silva Mawatha	Union Place,Chairman/CEO,Dr. Chandrawansa Pathiraja,011 2424316,
Boards,Employees' Trust Fund Board (E.T.F),+94-11-2503917,Mr. H M Seneviratna ,inquiry@etfb.lk,[u' +94-11-2368037'],['http://www.etfb.lk'],+94-11-2581704 +94-11-2503941 +94-11-2503943 +94-11-2503951 +94-11-2588709 +94-11-2589937 +94-11-2503936 +94-11-4519627 +94-11-4519628 +94-11-4519631, Asst. General Manager (Member Services) ,Narahenpita,                                                         Labour Secretariat,P O Box 807,1st Floor,Chairman/CEO,Mr.Mahinda Madihahewa,+94-11-2503410,Services Provided by the Board. : Benefit Schemes Available to ETF  Members : ETF e-payment scheme : e   Services of the  ETFB : About ETF Board : Employer Details : Payment of Contributions  : Employed Members : Self Employed Members : Statutory Benefits : Non Statutory Benefits : eServices
Boards,Ceylon Electricity Board,,W.I. Dassanayake ,,[u' 011 2466566'],['http://http://www.ceb.lk'],+94-011-2324471-8/+94-011-2329894/+94-011-2329108, Deputy General Manager (IT) ,Colombo 02,Chittampalam A Gardiner Mawatha,P.O.Box 540,No. 50,,,,Change of Tariff : Obtaining an Ordinary Supply Electricity Service within Colombo Municipal Limits : Obtaining a New Ordinary Electricity Supply (Other than Colombo City) : Obtaining a New Bulk Supply Electricity Service (Within Colombo City Limits) : Obtaining a New Bulk Supply Electricity Service  (Areas other than Colombo City) : Change of the Name of Electricity Consumer : Obtaining a Temporary Connection  (Areas other than the Colombo City) : Obtaining a Temporary Connection from Another House (Areas Other than the Colombo City) : Change of the Place where the Meters is Fixed : Electricity Break Down Service and other Particulars.
Boards,Coconut Cultivation Board,114955507,Mr. K.D.L.Dharmasiri ,ccb@sltnet.lk,[u' 011 5549502'],['http://www.coconut.gov.lk'],112861331, Genaral Manager ,,Denzil Kobbekaduwa MawathBattaramulla,,9/428,Chairman,Mr. Kapila Yakandawala,"Tp:011 2861330
Fax:011 5549501
Email Address:chairman@coconut.gov.lk",New Planting Subsidy : Replanting subsidy : Under planting subsidy : Kapruka Loan : seedling subsidy
Boards,Board of Investment of Sri lanka,+94-11-2447995: +94-11-2430512: +94-11-2422407: +94-11-2329795,Ms. Jeewani Sewwandi ,info@boi.lk,"[u' +94 11 2 346326, +94 11 2 427381']",['http://%20www.investsrilanka.com'],+94-11-2434403 - 5: +94-11-2435027: +94-11-2385972 - 6: +94-11-2346131 - 3: +94-11-2447531:, Assistant Director (Research & Policy Advocacy) ,8,Levels 05,6,Head Office :P. O. Box 1768,Chairman,Mr. Dumindra Ratnayaka,"+94-11-2436639,+94-11-2430514",Grant approval to set up incentivised Investment Projects : Grant approval to set up Investment Projects : Registration of Land Owners in the “BOI Land Bank” : Find lands  through the “BOI Land Bank” : Find Employment through the “BOI On-line Job Bank” : Find Employment through  “BOI Zonal Job Banks” : Registration of Suppliers for  the Board of Investment : Provide Contact Details of BOI Approved Projects : Provide Performance Details of BOI Approved Projects : Grant approval for Imports on Duty Free Basis : Grant approval for Exports of products : Grant approval to sell finished products in the Local Market : Grant approval for sub Contracting of Production : Grant approval to Transfer Raw Materials or Accessories : Issue Sri Lanka Certificate of Origin (COO) : Grant approval for Indirect Exports : Grant approval to sell redundant items in the Local Market
Boards,Atomic Energy Board,+94 12 533 448,MS. H.L.C. Nanayakkara ,officialmail@aeb.gov.lk,[u' +94 112 533 427'],['http://www.aeb.gov.lk'],+94  112 533 427 / 8: +94 112 533 449, Information Officer , Wellampitiya., Baseline Road, Orugodawatta,60/460,Chairman,Mr. Lakshitha Jayawardhana,"+94 112 547 331, +94 718 62 581",Related Services : Radiation Protection Regulatory Activities : Accredited Secondary Standards Dosimetry Calibration Laboratory service : Personal Monitoring Service :  Nuclear Analytical service  : NDT Inspection Services  : Traning
Commissions,Tertiary and Vocational Education Commission,+94-11-2555007,Mr. J.A.D.J. Jayalath ,info@tvec.gov.lk,[u' +94 11 5 849069'],['http://www.tvec.gov.lk'],+94-11-5849291, Director Information Systems ,Colombo 05.,354/2, Elvitigala Mawatha,'Nipunatha Piyasa' 3rd Floor,Director General,Dr. S.D.R. Perera, +94 11 5848141,Register all TVET institutions : Accreditation of TVET courses : Quality Management System (QMS) : Vocational Education Training (VET) Plans : Financial Assistant : Research Cell : NVQ certificates : Information Systems 
Commissions,Public Utilities Commission of Sri Lanka,011-2392641,Mr. Jayanat Herat ,info@pucsl.gov.lk,[u' 011-2392606 Ext: 109'],['http://http://www.pucsl.gov.lk'],011-2392607, Deputy Director - Corporate Communications , St. Michael's Road, BoC Merchant Tower, No. 28,06th Floor,Chairman,Ms. Pushpa Wellappili,,
Commissions,Official Languages Commission,112871379,S.P. Karunasena ,olc@sltnet.lk,[u' 0112871378'],['http://www.languagescomgov.lk'],112871378, Senior Clerk (English) ,Kotte Road,"""Bhasha Mandiraya""",No. 341/7,4th Floor,Chairman,Mr. Nimal R. Ranawaka,112864214,
Commissions,Human Rights Commission of Sri Lanka,+94 11 2 694924 / +94 11 2 -696470,Mr. B.A.R. Bamunusinghe ,admindirector.hrcsl@gmail.com,[u' +94 11 2 662098'],['http://www.hrcsl.lk'],+94 11 2 694925 / +94 11 2 685981/ +94 11 2 685980    , Director - Amin & Finance ,,Barnes Place,Colombo -07.,No. 108,Secretary,Mrs. C. Ellawala,+94 11 2 -689558,"Protective and Promotion of Human Rights Legally, Practically and on Principle"
Commissions,Public Service Commission,011-2369305: 011-2369302,Mr. A. Kulathunga ,sec-psc@sltnet.lk,[u' 0112136604'],['http://www.psc.gov.lk'],011-2136600: 011-2136650: 011-2136700, Addittional secretary (Administration) ,Colombo 05.,Nawala Road,Narahenpita,No. 177,Secretary,Mrs. T.M.L.C Senaratna,112136602,General : Establishment Division : Disciplinary Division : Appointment and Promotion Division : Appeals Division
Commissions,Election Commission,112868426,Mr. S. Ekenayake ,info@elections.gov.lk,[u' 0112879570 ext 450'],['http://www.elections.gov.lk'],0112868441 | 0112868442 | 0112868443, Director (ICT) ,Rajagiriya,P.O. Box 02, Sarana Mawatha,Elections Secretariat,Chairman,Mr. Mahinda Deshapriya,0112868444 | 0112868445,"Apply for Postal Voting  : Conducting Presidential, Parliamentary, Provincial and Local Elections : Contact Details : Process of Registration / Revision of Electoral Registers : Inclusion of Names in the New Register : Objection on Inclusion of a Name"
Other Government Organizations,Tower Hall Theatre Foundation,+94 112 678 517,Mr. Sampath Perera ,towersl@sltnet.lk,[u' +94 112 695 633'],['http://www.towerhall.lk'],+94 112 682 324, Assistant Director (Education/Research and Conservation) ,Colombo 07.,"""Savsiripaya""",Wijerama Mawatha,#123,Director General,Mr. Lionel Fernando,Tel:+94 112 686 088,Tower Hall : Elphinstone Theatre : Sarasavipaya  : Rukmani Devi  Memorial Centre - Negambo : Tower Drama & Theatre School : Tower Sound Studio : Tower Publication &  Tower Book Shop : Tower Transport Service
Other Government Organizations,Strategic Enterprise Management Agency (SEMA),011-2392968,Darshanie Amarasinghe ,darshanie@sema.gov.lk,[u' 0112426100'],['http://www.sema.gov.lk'],011-2426100, Manager - Communication ,,Janadhipathi Mawatha,Colombo 01.,No. 21,Chairman,Mr. Asoka Abeygunawardena,112426100,Principal Services 
Other Government Organizations,Srama Wasana Fund,011-2368979,D. R. Jayalath ,,[u' 011-2368215'],['http://-'],011-2368215, General Manager ,Narahenpita,6th Floor, Labour Secretariat,Shrama Vasana Fund,Chairman,W.J.L.U. Wijayaweera,011-2582938,
Other Government Organizations,Sri Lanka Planetarium,112586499,Himali C Bandara ,director@planetarium.gov.lk,[u' 0112586499'],['http://www.planetarium.gov.lk'],112586499, Science & Tecnology Officer ,,,,Prof. Stanley Wijesundaran MawathaColombo 7,Director,K.P.K Koralagama,112586499,Planetarium Presentations : Mobile Planetarium
Other Government Organizations,National Productivity Secretariat,+94 11 2 186025,Mrs. Thanuja Dilrukshi ,nposl@nps.lk,[u' '],['http://www.productivity.gov.lk'],+94 11 2 186031, Productivity Development Assistant ,,,,,Director,Mr. W.M.D.S Gunarathna,,National Productivity Award Ceremony-Annual basis : Conducting poster Art Competition : Conducting Quality Circles Competitions : Training and awareness Programme
